ID;Nome do Requisito;Tipo de Requisito;Use Cases;Descrição;Origem do requisito;Fit Criterion;Prioridade
RF01;Criação de Competição;Funcional;UC01, UC03;O sistema deve permitir aos organizadores criar competições no sistema;Organizadores;As configurações da competição são salvas no sistema.;Must
RF02;Criação de Prova;Funcional;UC02;O sistema deve permitir aos organizadores criar provas no sistema;Organizadores;As provas são criadas e registradas no sistema.;Must
RF03;Inserção de Resultados;Funcional;UC04;O sistema deve permitir aos organizadores inserir resultados de competição no sistema;Organizadores;Os resultados da competição são registrados no sistema.;Must
RF04;Publicação de Resultados;Funcional;UC05;O sistema deve permitir aos organizadores publicar resultados de competição no sistema;Organizadores;Os resultados são publicados para os participantes e público em geral.;Must
RF05;Gerir Inscrição de Atletas;Funcional;UC06;O sistema deve permitir aos atletas gerir suas inscrições no sistema;Atletas;As inscrições de atletas são registradas no sistema.;Must
RF06;Gerir Inscrição de Equipas;Funcional;UC07;O sistema deve permitir às Equipas gerir suas inscrições no sistema;Equipas;As inscrições de Equipas são registradas no sistema.;Must
RF07;Gerir Inscrição de Clubes;Funcional;UC08;O sistema deve permitir aos clubes gerir suas inscrições no sistema;Clubes;As inscrições de clubes são registradas no sistema.;Must
RF08;Inserção e Atualização da Meteorologia;Funcional;UC09;O sistema deve permitir aos organizadores inserir e atualizar informações meteorológicas no sistema;Organizadores;As informações meteorológicas são registradas no sistema.;Must
RF09;Introduzir Horário de Provas e Competições;Funcional;UC10;O sistema deve permitir aos organizadores inserir horários de provas e competições no sistema;Organizadores;Os horários das provas são registrados no sistema.;Must
RF10;Introdução de Escalões de Provas;Funcional;UC11;O sistema deve permitir aos organizadores introduzir escalões de provas no sistema;Organizadores;Os escalões são registrados no sistema.;Must
RF11;Definição das Categorias de Provas e Competições;Funcional;UC12;O sistema deve permitir aos organizadores definir categorias de provas e competições no sistema;Organizadores;As categorias são registradas no sistema.;Must
RF12;Serviço de Email de Notificação;Funcional;UC13;O sistema deve permitir enviar notificações por email aos organizadores da competição;Sistema;As notificações são enviadas por email para os destinatários.;Must
RF13;Protesto de Resultado;Funcional;UC14;O sistema deve permitir aos clubes protestar resultados de competição no sistema;Clubes;O protesto é registrado no sistema e enviado ao organizador da competição.;Must
RF14;Criação e Gestão de Organizadores;Funcional;UC15;O sistema deve permitir ao administrador criar e gerir organizadores no sistema;Administrador;O administrador do sistema acede às funcionalidades de criação e gestão de organizadores no sistema.;Must
RF15;Autenticação de Utilizadores;Funcional;Todos os casos de uso;O sistema deve permitir que os utilizadores se autentiquem com segurança no sistema;Sistema;Os utilizadores podem aceder apenas as funcionalidades permitidas após autenticação bem-sucedida.;Must
RF16;Recuperação de Senha;Funcional;Todos os casos de uso;O sistema deve permitir que os utilizadores recuperem suas senhas em caso de esquecimento ou perda;Sistema;Os utilizadores recebem um link seguro para redefinir a senha e aceder a conta novamente.;Must
RF17;Registro de Atividades;Funcional;Todos os casos de uso;O sistema deve registrar todas as atividades dos utilizadores para fins de auditoria e segurança;Sistema;Todas as atividades dos utilizadores são registradas com carimbo de data/hora e detalhes relevantes.;Must
